corpus_index,feed_id,provider,country,url,download_status,zip_bytes,sha256,analyzer_state,analyzer_exit,analyzer_notices,analyzer_wall_s,analyzer_rss_kb,md_state,md_exit,md_notices,md_groups,md_wall_s,md_rss_kb,md_validation_s
0,jbda-agematsutown-agematu,上松町,JP,https://files.mobilitydatabase.org/jbda-agematsutown-agematu/latest.zip,ok,8431,99734b8dba4206c54ae4803c1aa8f85f16093d7029721faa9d97b003a914e73c,completed,1,67,0.0,7964,completed,0,873,5,6.41,340792,0.474938565
1,jbda-aichi-miyoshicity-sansanbus,みよし市,JP,https://files.mobilitydatabase.org/jbda-aichi-miyoshicity-sansanbus/latest.zip,ok,60466,55584d24d737c1cadb1f1fed6d54bea51869cab5803a4d1bf72382b62073af94,completed,1,145,0.02,9684,completed,0,3222,6,5.84,353540,0.62114781
2,jbda-akashicity-tacobustacobusmini,明石市,JP,https://files.mobilitydatabase.org/jbda-akashicity-tacobustacobusmini/latest.zip,ok,178097,6d1e609a802e8a23958c1954f9c3f492779184136b1c3e6f29fc3e1015b1fecf,completed,1,219,0.04,12860,completed,0,10750,5,4.04,447884,0.895539637
3,jbda-aketetsu-akechirailway,明知鉄道,JP,https://files.mobilitydatabase.org/jbda-aketetsu-akechirailway/latest.zip,ok,6542,8eb76aa42a3e241eb67cf9be28db16d0f15af49c9bfe66760a9cdb813797d803,completed,1,75,0.0,7760,completed,0,382,5,10.77,318436,0.737496646
4,jbda-akicity-GTFS-Akicity_Bus,安芸市,JP,https://files.mobilitydatabase.org/jbda-akicity-GTFS-Akicity_Bus/latest.zip,ok,120358,4fc4da39376c7993b7e59bc9e8db821b3e15e633364d56cc5681c5a016c24530,completed,1,147,0.02,12088,completed,0,968,5,4.25,332520,0.406218602
5,jbda-akocity-teijuurou,赤穂市,JP,https://files.mobilitydatabase.org/jbda-akocity-teijuurou/latest.zip,ok,11804,b6eac36b62885de54724887047ce21a5231373f5d0deed032287047c9a790743,completed,1,61,0.0,8352,completed,0,444,3,6.1,326668,0.498125436
6,jbda-akocity-yuranosuke,赤穂市,JP,https://files.mobilitydatabase.org/jbda-akocity-yuranosuke/latest.zip,ok,22514,99ac8610273f13dc27ff5c54b3ef71def298b2a293c1f0ab3ab892814bf93117,completed,1,118,0.01,9060,completed,0,1413,4,6.84,334948,0.52677145
7,jbda-amacity-amashijunkaibasu,あま市,JP,https://files.mobilitydatabase.org/jbda-amacity-amashijunkaibasu/latest.zip,ok,22326,dc121f9f328ea2a27f20d31c28c341b07f73af6ce5a0c838acaba625cb0e5428,completed,1,223,0.0,8732,completed,0,584,5,4.85,334420,0.417466113
8,jbda-amagikankobus-AmagiKankoBus,株式会社甘木観光バス,JP,https://files.mobilitydatabase.org/jbda-amagikankobus-AmagiKankoBus/latest.zip,ok,51408,4383dae21fb3da3def6a3e96936178f7a2aa245ababf98f10c8e6b255975c713,completed,1,318,0.01,9996,completed,0,6,2,5.87,321868,0.622616922
9,jbda-andotown-andocombus,安堵町,JP,https://files.mobilitydatabase.org/jbda-andotown-andocombus/latest.zip,ok,11040,c920ec2cb8673772a7a1cd4eab9fe42c9c056ec95307139478d1513255a8a5a2,completed,1,125,0.0,9176,completed,0,1689,9,5.86,326364,0.49015971
10,jbda-anjocity-AnkuruBus,安城市,JP,https://files.mobilitydatabase.org/jbda-anjocity-AnkuruBus/latest.zip,ok,61036,13e78b21c63ff9fc25c4a16f0caea2dd051fc3c0c0f4085591f7699f0b1b3482,completed,1,250,0.01,10748,completed,0,3202,6,6.01,340496,0.619805208
11,jbda-annakacity-annakashi-rosenbus,安中市,JP,https://files.mobilitydatabase.org/jbda-annakacity-annakashi-rosenbus/latest.zip,ok,85000,9977c46c8d03c473f584535df103977f6c2ee25daa6abfe84307a45eb6b171a5,completed,1,148,0.02,10072,completed,0,2593,5,6.02,339024,0.690047305
12,jbda-aoi-komaki-aoikotsu,あおい交通,JP,https://files.mobilitydatabase.org/jbda-aoi-komaki-aoikotsu/latest.zip,ok,47888,1534c30bc16a1b3de04cf13d7b96126a801a414e1fe3f53510d937f08f0cba25,completed,1,256,0.02,10960,completed,0,3808,3,6.24,323020,0.645417839
13,jbda-aokivillage-aokisoneibus,青木村,JP,https://files.mobilitydatabase.org/jbda-aokivillage-aokisoneibus/latest.zip,ok,8713,ab91419c85abc5573076d91ce938e20a9255d9d4f642042209c193109c52d79d,completed,1,102,0.16,8092,completed,0,426,5,5.73,341024,0.43793055
14,jbda-arakawacity-sakura,荒川区,JP,https://files.mobilitydatabase.org/jbda-arakawacity-sakura/latest.zip,ok,12154,9d4336d0d39341f732ab3a70eb4febc38ca82f1c2a62863bfa57770bef9e08b0,completed,1,89,0.0,8132,completed,0,727,6,13.49,319596,0.474582892
15,jbda-aridagawatown-aridagawatownbus,有田川町,JP,https://files.mobilitydatabase.org/jbda-aridagawatown-aridagawatownbus/latest.zip,ok,90096,34894d1d86bd4d9435e1bdd58fadb9d3d59041c94dd9367d5438e417158fdb04,completed,1,226,0.02,10736,completed,0,601,7,5.46,329320,0.586520359
16,jbda-asatetu-asakaigantetsudo,阿佐海岸鉄道株式会社,JP,https://files.mobilitydatabase.org/jbda-asatetu-asakaigantetsudo/latest.zip,ok,34395,d6c150065303d90885551d9a78449946a816ed308e40cd57d3243a7a4a2830f8,completed,1,84,0.01,8292,completed,0,445,5,5.65,343680,0.495890808
17,jbda-ashikagacity-Ashikaga-route-bus,足利市,JP,https://files.mobilitydatabase.org/jbda-ashikagacity-Ashikaga-route-bus/latest.zip,ok,388801,d329d0ba4d94cd11720d1cf00625a5aaa584eb594527696b1a2add1a2cad5660,completed,1,267,0.07,15664,completed,0,2774,7,6.6,328084,0.88840979
18,jbda-ashiyatown-AshiyaTownBus,芦屋町,JP,https://files.mobilitydatabase.org/jbda-ashiyatown-AshiyaTownBus/latest.zip,ok,31309,8148c57b6f0837d776aa3b6ef59df23714baf5965d07dba2ed2ca5b72655c0d4,completed,1,205,0.01,10708,completed,0,3880,4,8.41,359372,0.64650039
19,jbda-awajicity-awaji-jenova-line-akashi-iwaya,淡路市,JP,https://files.mobilitydatabase.org/jbda-awajicity-awaji-jenova-line-akashi-iwaya/latest.zip,ok,9786,594b9e57717469f65934d40bf28dd5dfc2cbc5e9c596c03f6e7481b0bdff8cd7,completed,1,191,0.05,8256,completed,0,1307,5,6.17,317172,0.462194204
20,jbda-awajicity-awajinawahimebus,淡路市,JP,https://files.mobilitydatabase.org/jbda-awajicity-awajinawahimebus/latest.zip,ok,64719,2a92c9e2ccea77e93b5171e48298c8360ff5f96826c209035c717e14ace439ea,completed,1,589,0.02,10564,completed,0,7138,8,6.4,353212,0.619862764
21,jbda-busnet-tsu-guruttotsubus,バスネット津,JP,https://files.mobilitydatabase.org/jbda-busnet-tsu-guruttotsubus/latest.zip,ok,6856,fd82378c46cf0ad7b397c2df1ef42ebce43aef9c9323747dfdc1e18d872a2e2c,completed,1,60,0.0,7632,completed,0,273,6,4.65,278820,0.392146625
22,jbda-buzencity-BuzenCityBus,豊前市,JP,https://files.mobilitydatabase.org/jbda-buzencity-BuzenCityBus/latest.zip,ok,360196,e9a397eec5fb189c050bf60f35864af4bc4ab27c0c86a82e5561bab11edd8302,completed,1,80,0.12,22492,completed,0,47941,4,8.4,637964,1.34281034
23,jbda-chigasakicity-eboshigou,茅ヶ崎市,JP,https://files.mobilitydatabase.org/jbda-chigasakicity-eboshigou/latest.zip,ok,26198,a2f742d9d6e509f90ff21dd168d21bcf20c6a94fd08959385a489126ac5ff5d8,completed,1,148,0.01,9976,completed,0,2613,4,5.92,355360,0.558671833
24,jbda-chikugocity-HainuzukaStationAreaLoopBus,筑後市,JP,https://files.mobilitydatabase.org/jbda-chikugocity-HainuzukaStationAreaLoopBus/latest.zip,ok,25487,6177915f5fb9aa88cbae1b9b3ebc1b6bfa0ea0ca434ecad30d631fc560e681c5,completed,1,113,0.0,8672,completed,0,1046,4,3.81,284624,0.293874356
25,jbda-chikujotown-ChikujoTownCommunityBus,築上町,JP,https://files.mobilitydatabase.org/jbda-chikujotown-ChikujoTownCommunityBus/latest.zip,ok,245103,303fe175458cebdeb188aa4adfc3a727408a530363336f8959d7febc148d2510,completed,1,73,0.05,12956,completed,0,32184,4,9.92,541612,1.180703354
26,jbda-chikuma-bus-rosenbus,千曲バス株式会社,JP,https://files.mobilitydatabase.org/jbda-chikuma-bus-rosenbus/latest.zip,ok,278746,f535a627a7ec92023b468e69c4e6e4c5193c6533f50957aee299932db541ceff,completed,1,473,0.11,36024,completed,0,34016,3,7.98,566468,1.116917203
27,jbda-chikumacity-chikumajunkanbus,千曲市,JP,https://files.mobilitydatabase.org/jbda-chikumacity-chikumajunkanbus/latest.zip,ok,118404,326fff2e20b3ed78a33fe3c8264ae3f68283422439e83c771e67b8c4914fc751,completed,1,400,0.02,12108,completed,0,7845,5,12.09,343236,0.925774272
28,jbda-chiryucity-communitybus,知立市,JP,https://files.mobilitydatabase.org/jbda-chiryucity-communitybus/latest.zip,ok,83213,a1c360a35e79a2220ea12223cbf2fddc1b2129866c9806b77d1b0f5d5197330b,completed,1,247,0.02,10160,completed,0,3864,8,4.66,330612,0.566382929
29,jbda-chitabus-chitabus,知多乗合（知多バス）,JP,https://files.mobilitydatabase.org/jbda-chitabus-chitabus/latest.zip,ok,174334,979cc76a7fc6603d63f8364dc8ad569ba51a44793b61111a9dfee1e07ee8992e,completed,1,602,0.05,17872,completed,0,12940,7,6.84,352948,0.966209121
30,jbda-chitacity-chita-aiaibus,知多市,JP,https://files.mobilitydatabase.org/jbda-chitacity-chita-aiaibus/latest.zip,ok,65332,9165070ac46a04bd8aadca27ba06001a0b4eacb28634f306ebe7d1d8a10b3e45,completed,1,118,0.01,9716,completed,0,1684,6,7.97,272236,1.142360578
