corpus_index,feed_id,provider,country,url,download_status,zip_bytes,sha256,analyzer_state,analyzer_exit,analyzer_notices,analyzer_wall_s,analyzer_rss_kb,md_state,md_exit,md_notices,md_groups,md_wall_s,md_rss_kb,md_validation_s
0,jbda-agematsutown-agematu,上松町,JP,https://files.mobilitydatabase.org/jbda-agematsutown-agematu/latest.zip,ok,8431,99734b8dba4206c54ae4803c1aa8f85f16093d7029721faa9d97b003a914e73c,completed,1,67,0.06,8152,completed,0,873,5,11.93,320708,0.450937657
1,jbda-aichi-miyoshicity-sansanbus,みよし市,JP,https://files.mobilitydatabase.org/jbda-aichi-miyoshicity-sansanbus/latest.zip,ok,60466,55584d24d737c1cadb1f1fed6d54bea51869cab5803a4d1bf72382b62073af94,completed,1,145,0.02,9648,completed,0,3222,6,6.76,281904,0.702479435
2,jbda-akashicity-tacobustacobusmini,明石市,JP,https://files.mobilitydatabase.org/jbda-akashicity-tacobustacobusmini/latest.zip,ok,178097,6d1e609a802e8a23958c1954f9c3f492779184136b1c3e6f29fc3e1015b1fecf,completed,1,219,0.04,12548,completed,0,10750,5,3.62,478680,0.863601356
3,jbda-aketetsu-akechirailway,明知鉄道,JP,https://files.mobilitydatabase.org/jbda-aketetsu-akechirailway/latest.zip,ok,6542,8eb76aa42a3e241eb67cf9be28db16d0f15af49c9bfe66760a9cdb813797d803,completed,1,75,0.0,7696,completed,0,382,5,5.51,331228,0.403159713
4,jbda-akicity-GTFS-Akicity_Bus,安芸市,JP,https://files.mobilitydatabase.org/jbda-akicity-GTFS-Akicity_Bus/latest.zip,ok,120358,4fc4da39376c7993b7e59bc9e8db821b3e15e633364d56cc5681c5a016c24530,completed,1,147,0.02,11944,completed,0,968,5,4.64,323952,0.465281807
5,jbda-akocity-teijuurou,赤穂市,JP,https://files.mobilitydatabase.org/jbda-akocity-teijuurou/latest.zip,ok,11804,b6eac36b62885de54724887047ce21a5231373f5d0deed032287047c9a790743,completed,1,61,0.0,8092,completed,0,444,3,8.99,326944,0.573268385
6,jbda-akocity-yuranosuke,赤穂市,JP,https://files.mobilitydatabase.org/jbda-akocity-yuranosuke/latest.zip,ok,22514,99ac8610273f13dc27ff5c54b3ef71def298b2a293c1f0ab3ab892814bf93117,completed,1,118,0.01,9324,completed,0,1413,4,6.04,336084,0.458309538
7,jbda-amacity-amashijunkaibasu,あま市,JP,https://files.mobilitydatabase.org/jbda-amacity-amashijunkaibasu/latest.zip,ok,22326,dc121f9f328ea2a27f20d31c28c341b07f73af6ce5a0c838acaba625cb0e5428,completed,1,223,0.01,8620,completed,0,584,5,13.73,328324,0.716210942
8,jbda-amagikankobus-AmagiKankoBus,株式会社甘木観光バス,JP,https://files.mobilitydatabase.org/jbda-amagikankobus-AmagiKankoBus/latest.zip,ok,51408,4383dae21fb3da3def6a3e96936178f7a2aa245ababf98f10c8e6b255975c713,completed,1,318,0.01,10228,completed,0,6,2,6.28,337308,0.610022818
9,jbda-andotown-andocombus,安堵町,JP,https://files.mobilitydatabase.org/jbda-andotown-andocombus/latest.zip,ok,11040,c920ec2cb8673772a7a1cd4eab9fe42c9c056ec95307139478d1513255a8a5a2,completed,1,125,0.01,9276,completed,0,1689,9,5.53,327512,0.511382493
