corpus_index,feed_id,provider,country,url,download_status,zip_bytes,sha256,analyzer_state,analyzer_exit,analyzer_notices,analyzer_wall_s,analyzer_rss_kb,md_state,md_exit,md_notices,md_groups,md_wall_s,md_rss_kb,md_validation_s
0,jbda-agematsutown-agematu,上松町,JP,https://files.mobilitydatabase.org/jbda-agematsutown-agematu/latest.zip,ok,8431,99734b8dba4206c54ae4803c1aa8f85f16093d7029721faa9d97b003a914e73c,completed,1,67,0.0,7744,completed,0,873,5,5.49,321124,0.451922936
1,jbda-aichi-miyoshicity-sansanbus,みよし市,JP,https://files.mobilitydatabase.org/jbda-aichi-miyoshicity-sansanbus/latest.zip,ok,60466,55584d24d737c1cadb1f1fed6d54bea51869cab5803a4d1bf72382b62073af94,completed,1,145,0.02,9684,completed,0,3222,6,5.35,357140,0.658290193
2,jbda-akashicity-tacobustacobusmini,明石市,JP,https://files.mobilitydatabase.org/jbda-akashicity-tacobustacobusmini/latest.zip,ok,178097,6d1e609a802e8a23958c1954f9c3f492779184136b1c3e6f29fc3e1015b1fecf,completed,1,219,0.04,13188,completed,0,10750,5,9.18,371772,0.882924086
3,jbda-aketetsu-akechirailway,明知鉄道,JP,https://files.mobilitydatabase.org/jbda-aketetsu-akechirailway/latest.zip,ok,6542,8eb76aa42a3e241eb67cf9be28db16d0f15af49c9bfe66760a9cdb813797d803,completed,1,75,0.0,7896,completed,0,382,5,2.62,336740,0.354094914
4,jbda-akicity-GTFS-Akicity_Bus,安芸市,JP,https://files.mobilitydatabase.org/jbda-akicity-GTFS-Akicity_Bus/latest.zip,ok,120358,4fc4da39376c7993b7e59bc9e8db821b3e15e633364d56cc5681c5a016c24530,completed,1,147,0.12,12364,completed,0,968,5,3.84,330716,0.557567107
5,jbda-akocity-teijuurou,赤穂市,JP,https://files.mobilitydatabase.org/jbda-akocity-teijuurou/latest.zip,ok,11804,b6eac36b62885de54724887047ce21a5231373f5d0deed032287047c9a790743,completed,1,61,0.0,8312,completed,0,444,3,3.62,328232,0.322914691
6,jbda-akocity-yuranosuke,赤穂市,JP,https://files.mobilitydatabase.org/jbda-akocity-yuranosuke/latest.zip,ok,22514,99ac8610273f13dc27ff5c54b3ef71def298b2a293c1f0ab3ab892814bf93117,completed,1,118,0.01,9120,completed,0,1413,4,13.13,337412,0.591213388
7,jbda-amacity-amashijunkaibasu,あま市,JP,https://files.mobilitydatabase.org/jbda-amacity-amashijunkaibasu/latest.zip,ok,22326,dc121f9f328ea2a27f20d31c28c341b07f73af6ce5a0c838acaba625cb0e5428,completed,1,223,0.0,8800,completed,0,584,5,4.04,328044,0.311431148
8,jbda-amagikankobus-AmagiKankoBus,株式会社甘木観光バス,JP,https://files.mobilitydatabase.org/jbda-amagikankobus-AmagiKankoBus/latest.zip,ok,51408,4383dae21fb3da3def6a3e96936178f7a2aa245ababf98f10c8e6b255975c713,completed,1,318,0.01,9936,completed,0,6,2,3.66,317768,0.342448815
9,jbda-andotown-andocombus,安堵町,JP,https://files.mobilitydatabase.org/jbda-andotown-andocombus/latest.zip,ok,11040,c920ec2cb8673772a7a1cd4eab9fe42c9c056ec95307139478d1513255a8a5a2,completed,1,125,0.01,9056,completed,0,1689,9,5.86,284568,0.458090471
10,jbda-anjocity-AnkuruBus,安城市,JP,https://files.mobilitydatabase.org/jbda-anjocity-AnkuruBus/latest.zip,ok,61036,13e78b21c63ff9fc25c4a16f0caea2dd051fc3c0c0f4085591f7699f0b1b3482,completed,1,250,0.02,11004,completed,0,3202,6,5.21,355828,0.593527263
11,jbda-annakacity-annakashi-rosenbus,安中市,JP,https://files.mobilitydatabase.org/jbda-annakacity-annakashi-rosenbus/latest.zip,ok,85000,9977c46c8d03c473f584535df103977f6c2ee25daa6abfe84307a45eb6b171a5,completed,1,148,0.01,10084,completed,0,2593,5,10.03,330480,0.673418354
12,jbda-aoi-komaki-aoikotsu,あおい交通,JP,https://files.mobilitydatabase.org/jbda-aoi-komaki-aoikotsu/latest.zip,ok,47888,1534c30bc16a1b3de04cf13d7b96126a801a414e1fe3f53510d937f08f0cba25,completed,1,256,0.01,10996,completed,0,3808,3,4.18,355604,0.388603032
13,jbda-aokivillage-aokisoneibus,青木村,JP,https://files.mobilitydatabase.org/jbda-aokivillage-aokisoneibus/latest.zip,ok,8700,313a286a2130495539e7393e490ddded94319cee649fd7ca16221bf54a4fd6a3,completed,1,102,0.0,8164,completed,0,426,5,5.98,318840,0.428165356
14,jbda-arakawacity-sakura,荒川区,JP,https://files.mobilitydatabase.org/jbda-arakawacity-sakura/latest.zip,ok,12154,9d4336d0d39341f732ab3a70eb4febc38ca82f1c2a62863bfa57770bef9e08b0,completed,1,89,0.0,8252,completed,0,727,6,4.34,340532,0.264395712
15,jbda-aridagawatown-aridagawatownbus,有田川町,JP,https://files.mobilitydatabase.org/jbda-aridagawatown-aridagawatownbus/latest.zip,ok,90096,34894d1d86bd4d9435e1bdd58fadb9d3d59041c94dd9367d5438e417158fdb04,completed,1,226,0.02,10996,completed,0,601,7,5.14,332796,0.549794202
16,jbda-asatetu-asakaigantetsudo,阿佐海岸鉄道株式会社,JP,https://files.mobilitydatabase.org/jbda-asatetu-asakaigantetsudo/latest.zip,ok,34395,d6c150065303d90885551d9a78449946a816ed308e40cd57d3243a7a4a2830f8,completed,1,84,0.01,8140,completed,0,445,5,3.03,339848,0.438510105
17,jbda-ashikagacity-Ashikaga-route-bus,足利市,JP,https://files.mobilitydatabase.org/jbda-ashikagacity-Ashikaga-route-bus/latest.zip,ok,388801,d329d0ba4d94cd11720d1cf00625a5aaa584eb594527696b1a2add1a2cad5660,completed,1,267,0.06,15500,completed,0,2774,7,11.01,335160,1.059099278
18,jbda-ashiyatown-AshiyaTownBus,芦屋町,JP,https://files.mobilitydatabase.org/jbda-ashiyatown-AshiyaTownBus/latest.zip,ok,31309,8148c57b6f0837d776aa3b6ef59df23714baf5965d07dba2ed2ca5b72655c0d4,completed,1,205,0.01,10844,completed,0,3880,4,3.2,343492,0.511921721
