# SERT hükümlerin MAKİNE-OKUNUR kanıtı (issue #96).
#
# 🔴 Neden var: `badge_status.py` payı `KANITLI + DOLAYLI` diye hesaplıyordu ve kanıt olarak
# gösterilen kuralların SINIFINA hiç bakmıyordu. Böylece sert bir Spec hükmü, arkasındaki
# kuralların hepsi Quality/Interop iken kanıtlı sayılabiliyordu — Spec'e filtreleyen kullanıcı
# ihlali hiç görmüyordu. 2026-08-09 taramasında 21 böyle satır çıktı (issue 14 demişti ve
# alt sınır olduğunu kendisi yazıyordu).
#
# ⚠️ DÜZYAZIDAN TÜRETİLMEZ. İlk sürüm defterin gerekçe sütunundan bir kez üretildi, ama
# artık KAYNAK BURASIDIR ve ELLE bakılır. Gerekçe: düzyazıdaki her backtick'li kural adı
# kanıt DEĞİLDİR — bazıları retorik atıftır (on satır `PTH_017`'yi "şu hatayı tekrarlama"
# dersi olarak anar). Tam bu yüzden `P845d30d4` denetimden kaçmıştı.
#
# Kapı (`badge_status.py`): sert KANITLI/DOLAYLI her hükmün burada satırı OLMALI, atıf verilen
# her kural registry'de BULUNMALI ve en az biri **Spec** sınıfında olmalı. Üçünden biri
# tutmazsa exit 1.
#
# Sütunlar: provision <TAB> karar <TAB> Spec-sınıflı kanıt kuralları (virgülle)
P0003b8f1	KANITLI	RTS_028
P03987db8	KANITLI	TRP_019
P042ba79f	KANITLI	XFL_031
P05d556b5	KANITLI	PTH_001
P075bfafe	KANITLI	BKR_012,BKR_004
P0bb79a62	KANITLI	TRF_022,TRF_023
P0fa71358	KANITLI	TRF_017
P134a2d40	KANITLI	TRF_017
P19ab03d5	KANITLI	STM_054
P1afc582a	KANITLI	XFL_031
P1c390f1f	KANITLI	STM_041
P1d4947e7	KANITLI	BKR_014
P1d9a0191	KISMİ	RCT_006
P1efa6e43	KANITLI	FLJ_001,FLJ_002
P20d92e6a	KANITLI	TRN_013
P22458c92	KANITLI	STP_012
P24d95df2	KANITLI	XFL_031
P278f9cc2	KANITLI	FLJ_003,FLJ_004
P285e1ced	KANITLI	BKR_004
P28c5b709	KANITLI	TFR_006
P28e9ee8a	KANITLI	ARC_030
P2a0dbcd7	KANITLI	SHP_005
P2d2a4fe2	KANITLI	XFL_031
P2d5798e5	KANITLI	STP_003
P2de6ce3d	KANITLI	STM_039
P2f283161	KANITLI	LOC_001
P2f291c33	KANITLI	LOC_002
P2f6c441c	KANITLI	TRF_001,TRF_002
P31c88c29	KANITLI	FAR_004,FAR_011
P3bb1febc	KANITLI	BKR_008,BKR_001
P3e2e5c05	KANITLI	FIN_012
P4139d9ac	KANITLI	TRF_014
P419062b4	KANITLI	XFL_019
P4280b626	KANITLI	STM_052
P446972ca	KANITLI	TRF_017
P4882cfae	KANITLI	FTR_007
P4f2430ed	KANITLI	TFR_007
P51a00951	KANITLI	STM_041
P536c3b95	KANITLI	ARC_026
P5409e4cb	KANITLI	STM_039
P5545f72a	KANITLI	AGN_011
P56388e97	KANITLI	STM_051
P585a24d4	KANITLI	TRF_017
P5885e3d5	KANITLI	TRN_013
P58b03291	KANITLI	RTS_003
P5a1c0ffc	KANITLI	AGN_014
P5c565dc7	KANITLI	STM_037
P5db20825	KANITLI	BKR_010,BKR_003
P5f72fb5a	KANITLI	RTS_005
P608c78cf	KANITLI	TRN_009
P612a9dbf	KANITLI	TRF_022
P63ebcd1c	KANITLI	STM_047
P64e8ffb7	KANITLI	BKR_009,BKR_013
P65f312f1	KANITLI	TRN_009
P67d6bd72	KANITLI	SHP_004,SHP_008
P698baeb3	KANITLI	DQ_021
P6fa9925a	KANITLI	TFR_007
P706ade03	KANITLI	FTR_009
P71943a6f	KANITLI	ARC_004,ARC_025
P71c9ce23	KANITLI	FAR_004,FAR_011
P770d4d86	KANITLI	FTR_006
P78b1b3e8	KANITLI	ARC_001
P7917f3c5	KANITLI	ATR_009
P79f202e6	KANITLI	RCT_006
P7b4083a2	KANITLI	TFR_007
P7c9deec0	KANITLI	TRN_013
P7d083b18	KANITLI	STM_047
P7d35adee	KANITLI	BKR_009,BKR_013
P7e9096c8	KANITLI	STP_004,SHP_003
P7f589103	KANITLI	LOC_003
P8423efa1	KANITLI	TRF_014
P845d30d4	KANITLI	STM_032,PTH_017
P84671c38	KANITLI	STP_036
P86b889a8	KANITLI	STP_003,SHP_002
P8cc81b88	KANITLI	TFR_007
P8e01aabc	KANITLI	TRF_001,TRF_002
P9068b265	KANITLI	RTS_028
P91ff9ba5	KANITLI	ARS_001
P985bdc2c	KANITLI	TRF_021
P9963363e	KANITLI	STP_036
P99885c9f	KANITLI	FTR_010
P9c00a4c1	KANITLI	STM_015,STM_016
P9ca98eaa	KANITLI	RTS_006,RTS_007
P9cee47a9	KANITLI	DQ_021
P9cf0fc58	KANITLI	BKR_005,BKR_004
P9db18901	KANITLI	TRF_023
P9fb3b94e	KANITLI	STM_037
Pa2eda5e0	KANITLI	BKR_010,BKR_003
Pa4c60372	KANITLI	ARC_033,ARC_013
Pa586fe5b	KANITLI	TFR_005
Pa99a9040	KANITLI	STM_037
Paa26a036	KANITLI	STP_043
Pac2e68e4	KANITLI	STP_026
Pae80c9ab	KANITLI	STP_011
Pb194db96	KANITLI	PTH_026
Pb9ee0cd1	KANITLI	STP_043
Pc0951256	KANITLI	ARC_024
Pc12c3c45	KANITLI	STM_039
Pc13251f4	KANITLI	STM_041
Pc17af87b	KANITLI	BKR_008,BKR_001
Pc1ed2281	KANITLI	PTH_026
Pc2fcfe46	KANITLI	FTR_011
Pc3b911a6	DOLAYLI	ARC_025
Pc8bfc111	KANITLI	PTH_016
Pcc1b72af	KANITLI	TRN_009
Pcf0597aa	KANITLI	TRN_004
Pd236e553	KANITLI	RTS_003
Pd59e5eaa	DOLAYLI	ARC_025
Pd63bf170	KANITLI	STM_037
Pd6bc0278	KANITLI	ARC_032
Pd78aeee0	KANITLI	BKR_014
Pd84a0bcb	KANITLI	LOC_011,PTH_017
Pd90f72d8	KANITLI	FLJ_003,FLJ_004
Pdb1fcb2a	KANITLI	STP_006,STP_007
Pdb20f308	KANITLI	FLJ_001,FLJ_002
Pdc0b679c	KANITLI	TRN_015
Pde6fb4a5	KANITLI	PTH_012
Pe15614d2	KANITLI	AGN_011
Pe929fc21	KANITLI	STP_006,STP_007
Pe9ff5c29	KANITLI	STM_039
Peb36dead	KANITLI	TFR_006
Pec6b6920	KANITLI	FRQ_011
Pedaac477	KANITLI	NET_001
Pf1672264	KANITLI	STM_055
Pf27a2fd0	KANITLI	AGN_005
Pf2eca25e	KANITLI	STM_056,STM_030
Pf42894d6	KANITLI	TRF_021
Pf4e87f1d	KANITLI	STM_041
Pf93f15ba	KANITLI	TRN_015
Pffdf614c	KANITLI	BKR_007
# ── Tablo satırında DEĞİL, "DURUM MAKİNESİ" bölümünde kapatılan sert hükümler ──
# Bunların tablo kararı hâlâ BOŞLUK/KAPSAM DIŞI görünür; kapanışı durum makinesi taşır.
# Kanıt oradan okundu (hüküm → kapatan kural).
P2264440d	KANITLI	PTH_030
P257db6b1	KANITLI	FRQ_012
P2c840d38	KANITLI	TRN_016
P38cd4e78	KANITLI	FPD_007,FAR_013
P5a5cced5	KANITLI	BKR_024
P5b7396a2	KANITLI	PTH_031
P9373b1fa	KANITLI	TRN_017
Pa1fdaa0d	KANITLI	STM_060
Pbd495b4e	KANITLI	PTH_031
